Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
3608 Evergreen Restaurant Inc,3608 Miller Rd Suite 6a,Wilmington,19802.0,05/19/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","3608 Miller Rd Suite 6a
Wilmington, DE 19802
(39.766792008, -75.532662997)"
38 Degrees (the Point Amenity),26494 Crosswinds Landing,Selbyville,19944.0,07/13/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","26494 Crosswinds Landing
Selbyville, DE 19944
(38.451891005, -75.089976972)"
3CS Food Market,518 New Castle Avenue,Wilmington,19801.0,02/28/2022,Routine,2-102.11,Demonstration of Knowledge,"518 New Castle Avenue
Wilmington, DE 19801
(39.727822989, -75.54315496)"
426 CARIBBEAN CUISINE,1040 South State Street,Dover,19901.0,05/31/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","1040 South State Street
Dover, DE 19901
(39.142810991, -75.523093965)"
519 Culinary Hotel,519 North Market Street,Wilmington,19801.0,03/02/2023,Routine,5-501.17,"Toilet Room Receptacle, Covered","519 North Market Street
Wilmington, DE 19801
(39.741897001, -75.55067797)"
7 Day Farmers Market,3901 Lancaster Pike,Wilmington,19805.0,01/10/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"3901 Lancaster Pike
Wilmington, DE 19805
(39.756650994, -75.596554976)"
7- Eleven 11288A,4865 Governor Printz Boulevard,Wilmington,19809.0,04/03/2023,Routine,2-102.12,Certified Food Protection Manager,"4865 Governor Printz Boulevard
Wilmington, DE 19809
(39.755287007, -75.499220963)"
7 Eleven 16354N,1700 Pulaski Highway,Bear,19701.0,09/07/2023,Routine,7-201.11,Separation-Storage,"1700 Pulaski Highway
Bear, DE 19701
(39.618176003, -75.694702033)"
701 Family Market Inc,701 Concord Ave,Wilmington,19802.0,01/12/2023,Routine,5-205.15,System Maintained in Good Repair,"701 Concord Ave
Wilmington, DE 19802
(39.76048802, -75.541882001)"
76ers Field house,401 Garasches Lane,Wilmington,19801.0,01/21/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"401 Garasches Lane
Wilmington, DE 19801
(39.727484989, -75.554439014)"
7-eleven #11282d,2100 Foulk Road,Wilmington,19810.0,09/30/2022,Routine,4-602.13,Nonfood Contact Surfaces,"2100 Foulk Road
Wilmington, DE 19810
(39.817048013, -75.506764006)"
7-eleven #11298b,1901 Centerville Road,Wilmington,19808.0,02/18/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","1901 Centerville Road
Wilmington, DE 19808
(39.739409, -75.623488964)"
7-eleven #11305c,298 S Maryland Avenue,Wilmington,19805.0,11/30/2022,Routine,2-102.12,Certified Food Protection Manager,"298 S Maryland Avenue
Wilmington, DE 19805
(39.726340021, -75.588486975)"
7-eleven #20320c,314 N Union St,Wilmington,19805.0,03/01/2023,Routine,2-102.12,Certified Food Protection Manager,"314 N Union St
Wilmington, DE 19805
(39.748875019, -75.572924966)"
7-eleven #40122h,530 Jfk Memorial Highway,Newark,19702.0,12/14/2023,Routine,2-301.15,Where to Wash,"530 Jfk Memorial Highway
Newark, DE 19702
(39.661969016, -75.691436024)"
7-Eleven 11284D,202 South Main Street,Newark,19711.0,09/28/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","202 South Main Street
Newark, DE 19711
(39.678132008, -75.76237601)"
7-eleven 35688a,2701 Lancaster Ave,Wilmington,19805.0,12/20/2022,Routine,6-301.12,Hand Drying Provision,"2701 Lancaster Ave
Wilmington, DE 19805
(39.750179998, -75.581967028)"
7-eleven Store #1406-11291c,201 West Market St,Newport,19804.0,01/04/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"201 West Market St
Newport, DE 19804
(39.713823995, -75.612216981)"
9 East Taphouse,9 East Loockerman Street,Dover,19901.0,10/09/2023,Routine,2-102.12,Certified Food Protection Manager,"9 East Loockerman Street
Dover, DE 19901
(39.159599985, -75.520342018)"
A & R Bakery,701 N Broad Street,Middletown,19709.0,02/24/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","701 N Broad Street
Middletown, DE 19709
(39.458935014, -75.717384972)"
A and M Market Inc,942 Bennett Street,Wilmington,19801.0,02/17/2022,Routine,2-102.12,Certified Food Protection Manager,"942 Bennett Street
Wilmington, DE 19801
(39.742122013, -75.539714021)"
A Ya So Nice,165 S dupont Hwy,New Castle,19720.0,03/02/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"165 S dupont Hwy
New Castle, DE 19720
(39.659108985, -75.612098042)"
A-1 Deli & Groceries,215 W 4th St,Wilmington,19801.0,05/23/2022,Routine,2-102.11,Demonstration of Knowledge,"215 W 4th St
Wilmington, DE 19801
(39.741368019, -75.553038984)"
Abbott's On The Broad Creek,111 Delaware Ave,Laurel,19956.0,02/25/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","111 Delaware Ave
Laurel, DE 19956
(38.558573983, -75.56986599)"
Above the Dunes,101 S Boardwalk,Rehoboth Beach,19971.0,04/18/2022,Routine,6-301.12,Hand Drying Provision,"101 S Boardwalk
Rehoboth Beach, DE 19971
(38.715440002, -75.076093019)"
Absalom Jones Senior Center,310 Kiamensi Road,Wilmington,19804.0,12/21/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","310 Kiamensi Road
Wilmington, DE 19804
(39.722042996, -75.622235032)"
Absalom Jones Senior Center III,310 Kiamensi Road,Wilmington,19804.0,12/21/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","310 Kiamensi Road
Wilmington, DE 19804
(39.722042996, -75.622235032)"
AC Special Chicken,219 NE Front Street,Milford,19963.0,05/17/2022,Routine,6-501.16,Drying Mops,"219 NE Front Street
Milford, DE 19963
(38.916015005, -75.424725961)"
Academia Antonia Alonso,300 North Wakefield Drive,Newark,19702.0,11/16/2022,Routine,5-205.15,System Maintained in Good Repair,"300 North Wakefield Drive
Newark, DE 19702
(39.662348004, -75.67538996)"
Academy Of Dover Charter School,104 Saulsbury Road,Dover,19904.0,03/28/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","104 Saulsbury Road
Dover, DE 19904
(39.161676014, -75.545192014)"
Acme #2679,18578 Coastal Hwy Unit 13,Rehoboth Beach,19971.0,03/01/2022,Routine,6-501.16,Drying Mops,"18578 Coastal Hwy Unit 13
Rehoboth Beach, DE 19971
(38.736096993, -75.142903996)"
Acme #2682,4365 Kirkwood Hwy,Wilmington,19808.0,03/09/2023,Routine,5-202.15,"Conditioning Device, Design","4365 Kirkwood Hwy
Wilmington, DE 19808
(39.727459005, -75.65464299)"
Acme #2831,1812 Marsh Rd,Wilmington,19809.0,08/18/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1812 Marsh Rd
Wilmington, DE 19809
(39.80346099, -75.505217964)"
Acme Food Store#2836,236 East Glenwood Ave,Smyrna,19977.0,12/05/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"236 East Glenwood Ave
Smyrna, DE 19977
(39.30602102, -75.610578989)"
Acme Market #7816,460 E Main St,Middletown,19709.0,02/21/2023,Routine,5-205.15,System Maintained in Good Repair,"460 E Main St
Middletown, DE 19709
(39.44850801, -75.697637962)"
Acme Market Store #7813,Foulk & Naamans Rds,Wilmington,19810.0,09/29/2022,Routine,3-304.12,"In-Use Utensils, Between-Use Storage","Foulk & Naamans Rds
Wilmington, DE 19810
(39.824759993, -75.500970015)"
Acme Market Store #7871,1 University Plaza,Newark,19702.0,02/21/2022,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","1 University Plaza
Newark, DE 19702
(39.666425004, -75.670430975)"
Acme Market Store #808,1401 N Dupont St,Wilmington,19806.0,08/05/2022,Routine,5-501.17,"Toilet Room Receptacle, Covered","1401 N Dupont St
Wilmington, DE 19806
(39.757209984, -75.563844012)"
Acme Market Store #828,128 Lantana Dr,Hockessin,19707.0,11/02/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","128 Lantana Dr
Hockessin, DE 19707
(39.773623007, -75.708930984)"
Acme Market Store #872,1308 Centerville Road,Wilmington,19808.0,11/07/2023,Routine,4-204.112,Temperature Measuring Devices-Functionality,"1308 Centerville Road
Wilmington, DE 19808
(39.734003008, -75.623218983)"
Acme Market Store#7874,1901 Concord Pike,Wilmington,19803.0,07/07/2022,Routine,6-301.14,Handwashing Signage,"1901 Concord Pike
Wilmington, DE 19803
(39.787761015, -75.545125965)"
Acme Starbucks Kiosk,18578 Coastal Hwy Unit 13,Wyoming,19971.0,12/29/2022,Routine,2-301.12,Cleaning Procedure,"18578 Coastal Hwy Unit 13
Wyoming, DE 19971
(38.736096993, -75.142903996)"
ACTS Retirement-Life Communities Inc - Country Ho,4830 Kennett Pike,Wilmington,19807.0,06/06/2023,Routine,4-602.11,Equipment Food-Contact Surfaces and Utensils-Frequency,"4830 Kennett Pike
Wilmington, DE 19807
(39.794921004, -75.613149971)"
Adams Market,836 W 7th St,Wilmington,19801.0,01/10/2022,Routine,7-202.12,Conditions of Use,"836 W 7th St
Wilmington, DE 19801
(39.745896007, -75.558125961)"
Adams Rib & Grille,2707 Philadelphia Pike,Claymont,19703.0,02/16/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","2707 Philadelphia Pike
Claymont, DE 19703
(39.795425008, -75.468115972)"
Ada's Picnic,32497 Long Neck Rd,Millsboro,19966.0,06/02/2023,Routine,4-101.16,Sponges Use Limitation,"32497 Long Neck Rd
Millsboro, DE 19966
(38.631376009, -75.176948018)"
Adventures Await Retreat,89 Hunting Quarter Road,Houston,19954.0,02/24/2022,Routine,2-102.12,Certified Food Protection Manager,"89 Hunting Quarter Road
Houston, DE 19954
(38.868171018, -75.522552997)"
Afc Sushi @ Harris Teeter,31221 Americana Parkway,Selbyville,19975.0,10/10/2023,Routine,2-102.12,Certified Food Protection Manager,"31221 Americana Parkway
Selbyville, DE 19975
(38.469930998, -75.11393002)"
Afc Sushi @ Harris Teeter #336,26370 Bay Farm Rd,Millsboro,19966.0,10/10/2023,Routine,8-103.12,Conformance with Approved Procedures,"26370 Bay Farm Rd
Millsboro, DE 19966
(38.625208018, -75.194680018)"
African Fusion,4200 n dupont hwy,Wyoming,19901.0,08/19/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"4200 n dupont hwy
Wyoming, DE 19901
(39.20812102, -75.566098995)"
Agape Creamery,35287 Atlantic Avenue,Millville,19967.0,06/13/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","35287 Atlantic Avenue
Millville, DE 19967
(38.551477989, -75.120602015)"
Agave,137 Second St,Lewes,19958.0,05/25/2023,Routine,6-501.14,"Cleaning Ventilation Systems, Nuisance and Discharge Prohibition","137 Second St
Lewes, DE 19958
(38.775649014, -75.13994904)"
Agave Mexican Grill,1313 North Market Street/The Chance,Wilmington,19801.0,09/28/2023,Routine,2-102.12,Certified Food Protection Manager,"1313 North Market Street/The Chance
Wilmington, DE 19801
(39.74903, -75.546272022)"
Agave Restaurant,19178 Coastal Highway,Rehoboth Beach,19971.0,05/01/2023,Routine,3-401.13,Plant Food Cooking for Hot Holding,"19178 Coastal Highway
Rehoboth Beach, DE 19971
(38.725782013, -75.127164961)"
Agilent Technologies,2850 Centerville Rd,Wilmington,19808.0,05/08/2023,Routine,2-102.11,Demonstration of Knowledge,"2850 Centerville Rd
Wilmington, DE 19808
(39.757900988, -75.622052977)"
Aha South Indian Cuisine,1247 Quintilio Drive,Bear,19701.0,12/15/2023,Routine,5-202.12,"Handwashing Sinks, Installation","1247 Quintilio Drive
Bear, DE 19701
(39.630755982, -75.667273009)"
Air Liquide Innovation Campus Delaware Cafeteria,200 Gbc Drive,Newark,19702.0,10/25/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","200 Gbc Drive
Newark, DE 19702
(39.611616996, -75.739708997)"
Akhibachi's Halal Food,212 South Governors Avenue,Dover,19904.0,01/10/2023,Routine,2-102.12,Certified Food Protection Manager,"212 South Governors Avenue
Dover, DE 19904
(39.157481899, -75.526963637)"
Al Casapulla's Italian Deli,535 Atlantic Ave,Millville,19970.0,06/13/2023,Routine,2-102.12,Certified Food Protection Manager,"535 Atlantic Ave
Millville, DE 19970
(38.549385869, -75.122411922)"
Al Chu's Sushi,111 West 10th Street Suite 7,Wilmington,19801.0,04/05/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","111 West 10th Street Suite 7
Wilmington, DE 19801
(39.746272019, -75.548154011)"
Albert H Jones Ele Sch Cafeteria,35 W Main St,Newark,19702.0,10/10/2022,Routine,6-301.12,Hand Drying Provision,"35 W Main St
Newark, DE 19702
(39.667463018, -75.662607977)"
Albies Burger Truck,1362 Naamans Creek Rd,Wyoming,19061.0,05/11/2022,Routine,7-101.11,"Identifying Information, Prominence-Original Containers","1362 Naamans Creek Rd
Wyoming, DE 19061
(39.840521994, -75.497546008)"
Alex's Seafood & Bar-b-que,110 N Dupont Hwy,New Castle,19720.0,12/01/2022,Routine,2-102.12,Certified Food Protection Manager,"110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
Alex's Seafood Rest & Clam Bar,110 N Dupont Hwy,New Castle,19720.0,11/18/2022,Routine,8-304.11,Responsibilities of the Permit Holder,"110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
Alfred Waters Middle School,1235 Cedar Lane Road,Middletown,19709.0,10/11/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","1235 Cedar Lane Road
Middletown, DE 19709
(39.503510017, -75.689284976)"
Ali Baba Middle Eastern Restaurant Inc,175 East Main Street,Newark,19711.0,11/29/2022,Routine,6-301.12,Hand Drying Provision,"175 East Main Street
Newark, DE 19711
(39.683318017, -75.746110005)"
All Hands BBQ,103 Reamer Avenue,Wilmington,19804.0,05/11/2023,Routine,5-203.11,Handwashing Sinks-Numbers and Capacities,"103 Reamer Avenue
Wilmington, DE 19804
(39.727346981, -75.593129962)"
All Saints' Parish Hall,18 Olive Ave,Rehoboth Beach,19971.0,01/26/2022,Routine,6-501.16,Drying Mops,"18 Olive Ave
Rehoboth Beach, DE 19971
(38.718729019, -75.078018007)"
Amalfi Pizza,208 Suburban Dr,Newark,19711.0,10/31/2023,Routine,2-102.12,Certified Food Protection Manager,"208 Suburban Dr
Newark, DE 19711
(39.668201003, -75.77604899)"
Amato's Pizza,68 Atlantic Avenue,Ocean View,19970.0,11/08/2023,Routine,2-102.12,Certified Food Protection Manager,"68 Atlantic Avenue
Ocean View, DE 19970
(38.544386983, -75.09249104)"
American Legion Post #14,107 Glenwood Ave,Smyrna,19977.0,11/09/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","107 Glenwood Ave
Smyrna, DE 19977
(39.301651995, -75.61181004)"
American Legion Post #17,American Legion Road,Lewes,19958.0,03/01/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","American Legion Road
Lewes, DE 19958
(38.7781805, -75.132285779)"
American Legion Post #28,31768 Legion Rd,Millsboro,19966.0,02/27/2023,Routine,5-202.13,"Backflow Prevention, Air Gap","31768 Legion Rd
Millsboro, DE 19966
(38.618351998, -75.197070034)"
American Legion Post #7,17448 S Dupont Hwy,Harrington,19952.0,08/26/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","17448 S Dupont Hwy
Harrington, DE 19952
(38.920459006, -75.569022016)"
American Legion Post 5,300 King Charles St,Rehoboth Beach,19971.0,11/17/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"300 King Charles St
Rehoboth Beach, DE 19971
(38.713365984, -75.077968973)"
American Multi-Cinema Inc / Dover Mall,1365 N Dupont Hwy,Dover,19901.0,01/18/2023,Routine,2-102.12,Certified Food Protection Manager,"1365 N Dupont Hwy
Dover, DE 19901
(39.194205007, -75.539961036)"
Americans Legion Stall Post #30,156 A North Dupont Highway,New Castle,19720.0,12/02/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"156 A North Dupont Highway
New Castle, DE 19720
(39.67277002, -75.594031017)"
America's Best Wings,1218 Beaver Brook Plaza,New Castle,19720.0,02/24/2022,Follow-up,4-302.14,"Sanitizing Solutions, Testing Devices","1218 Beaver Brook Plaza
New Castle, DE 19720
(39.641397018, -75.624352971)"
Amity Bistro,209 North Market Street,Wilmington,19801.0,03/16/2022,Routine,2-102.12,Certified Food Protection Manager,"209 North Market Street
Wilmington, DE 19801
(39.739395003, -75.552372036)"
Amity Coffee Roasters & Cafe,13 West Market Street,Greenwood,19950.0,06/22/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"13 West Market Street
Greenwood, DE 19950
(38.807706986, -75.593405979)"
Amity Coffee Roasters and Cafe,8 W Market St,Greenwood,19950.0,06/09/2022,Routine,6-301.12,Hand Drying Provision,"8 W Market St
Greenwood, DE 19950
(38.80725298, -75.593043964)"
Amore Pizza,1590 Red Lion Rd,Bear,19701.0,12/13/2022,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"1590 Red Lion Rd
Bear, DE 19701
(39.592317999, -75.677785005)"
Amore Pizza & Subs,20750 John J Williams Hwy,Millsboro,19966.0,06/30/2023,Routine,2-102.12,Certified Food Protection Manager,"20750 John J Williams Hwy
Millsboro, DE 19966
(38.699515526, -75.17001806)"
Amore Pizza Deli,430 Old Baltimore Pk,Newark,19702.0,12/22/2021,Follow-up,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","430 Old Baltimore Pk
Newark, DE 19702
(39.649550011, -75.69127702)"
Andy Pizza,501 East Mkt St,Greenwood,19950.0,04/10/2023,Routine,4-101.19,Nonfood-Contact Surfaces,"501 East Mkt St
Greenwood, DE 19950
(38.806454981, -75.584642028)"
Anejo Mexican Grill,1804 Newport Gap Pike,Wilmington,19808.0,03/23/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","1804 Newport Gap Pike
Wilmington, DE 19808
(39.733631983, -75.628495978)"
Anejo Mexican Grill & Taquila Bar,1717 Delaware Avenue,Wilmington,19806.0,04/18/2022,Routine,3-301.11,Preventing Contamination from Hands,"1717 Delaware Avenue
Wilmington, DE 19806
(39.758712021, -75.56291404)"
Angelo's Luncheonette,1722 N Scott St,Wilmington,19806.0,11/29/2022,Routine,6-301.14,Handwashing Signage,"1722 N Scott St
Wilmington, DE 19806
(39.759329012, -75.562442977)"
Angelos Pizza,20 W Loockerman Street,Dover,19904.0,05/18/2023,Routine,2-102.12,Certified Food Protection Manager,"20 W Loockerman Street
Dover, DE 19904
(39.157808018, -75.525101011)"
Anna & Mike's Pizza Restaurant,9781 N Dupont Hwy,Felton,19943.0,08/19/2022,Routine,6-301.12,Hand Drying Provision,"9781 N Dupont Hwy
Felton, DE 19943
(39.029910988, -75.561676033)"
Anon Stop #2,33306 Main Street,Dagsboro,19939.0,08/12/2022,Routine,2-102.11,Demonstration of Knowledge,"33306 Main Street
Dagsboro, DE 19939
(38.552748015, -75.247687006)"
Anthony's Coal Fired Pizza,5611 Concord Pike,Wilmington,19803.0,07/18/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","5611 Concord Pike
Wilmington, DE 19803
(39.83370801, -75.541011037)"
Apexx,913 North Orange Street,Wilmington,19801.0,02/22/2022,Routine,2-102.11,Demonstration of Knowledge,"913 North Orange Street
Wilmington, DE 19801
(39.745739014, -75.549602991)"
Applebees Neighborhood Grill & Bar,698 B North Dupont Hwy,Milford,19963.0,03/23/2022,Routine,5-202.13,"Backflow Prevention, Air Gap","698 B North Dupont Hwy
Milford, DE 19963
(38.918961999, -75.439177032)"
Applebee's Neighborhood Grill & Bar,105 Wilton Blvd,New Castle,19720.0,01/06/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","105 Wilton Blvd
New Castle, DE 19720
(39.651577007, -75.622506019)"
Applebee's Neighborhood Grill And Bar,4110 S Dupont Hwy,Camden,19934.0,01/12/2022,Routine,3-304.14,"Wiping Cloths, Use Limitation","4110 S Dupont Hwy
Camden, DE 19934
(39.101645997, -75.543601967)"
Appoquinimink High School Culinary Arts Kitchen,1080 Bunker Hill Rd,Middletown,19709.0,09/18/2023,Routine,4-602.11,Equipment Food-Contact Surfaces and Utensils-Frequency,"1080 Bunker Hill Rd
Middletown, DE 19709
(39.454111019, -75.747681025)"
Appoquinimink High School Main Kitchen,1080 Bunker Hill Rd,Middletown,19709.0,09/18/2023,Routine,3-301.11,Preventing Contamination from Hands,"1080 Bunker Hill Rd
Middletown, DE 19709
(39.454111019, -75.747681025)"
Aps Market & Grill LLC,58 W Church St,Selbyville,19975.0,09/07/2023,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","58 W Church St
Selbyville, DE 19975
(38.457553987, -75.226218018)"
Aqua Bar & Grill,57 Baltimore Avenue,Wyoming,19971.0,07/13/2022,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"57 Baltimore Avenue
Wyoming, DE 19971
(38.717169985, -75.081805035)"
Arby's,1200 Forrest Ave,Dover,19901.0,01/25/2022,Routine,4-903.11,"Equipment, Utensils, Linens and Single-Service and Single-Use Articles Storing","1200 Forrest Ave
Dover, DE 19901
(39.158378993, -75.550271028)"
Arby's Restaurant,16994 S Dupont Highway,Harrington,19952.0,05/05/2023,Routine,5-203.11,Handwashing Sinks-Numbers and Capacities,"16994 S Dupont Highway
Harrington, DE 19952
(38.926286986, -75.566845991)"
Archies,42 Rehoboth Ave,Rehoboth Beach,19971.0,08/22/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","42 Rehoboth Ave
Rehoboth Beach, DE 19971
(38.716011019, -75.077515009)"
Archie's Ice Cream,25 Rehoboth Avenue,Rehoboth Beach,19971.0,08/22/2022,Routine,6-301.12,Hand Drying Provision,"25 Rehoboth Avenue
Rehoboth Beach, DE 19971
(38.716990989, -75.077076971)"
Arden Gild Hall,2126 The Highway,Wilmington,19810.0,03/08/2023,Routine,5-205.15,System Maintained in Good Repair,"2126 The Highway
Wilmington, DE 19810
(39.809882445, -75.489184566)"
Arenas At Airport,21553 Rudder Ln Sussex County Airpo,Georgetown,19947.0,04/05/2022,Routine,2-102.12,Certified Food Protection Manager,"21553 Rudder Ln Sussex County Airpo
Georgetown, DE 19947
(38.690498014, -75.363361042)"
Arenas At Milford,200 N East Front Street,Milford,19963.0,09/09/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","200 N East Front Street
Milford, DE 19963
(38.915912802, -75.426478967)"
Arena's Cafe,17314-53 N Village Main Blvd,Lewes,19958.0,02/08/2023,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","17314-53 N Village Main Blvd
Lewes, DE 19958
(38.753239996, -75.169589964)"
Arena's Deli & Bar,149 Rehoboth Ave,Rehoboth Beach,19971.0,02/07/2022,Routine,5-204.11,Handwashing Sinks-Location and Placement,"149 Rehoboth Ave
Rehoboth Beach, DE 19971
(38.716682996, -75.080854024)"
Arena's Pub,18756 Coastal Highway Unit 3,Rehoboth Beach,19971.0,05/26/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","18756 Coastal Highway Unit 3
Rehoboth Beach, DE 19971
(38.733354015, -75.137541003)"
Argilla Brewing Co @ Pietro's Pizza,2667 Kirkwood Hwy,Newark,19711.0,11/15/2023,Routine,2-102.12,Certified Food Protection Manager,"2667 Kirkwood Hwy
Newark, DE 19711
(39.707643207, -75.683979796)"
Armand's Pizza,33548 Market Place,Bethany Beach,19930.0,03/02/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"33548 Market Place
Bethany Beach, DE 19930
(38.527037994, -75.057863973)"
Aroma Mediterranean Cuisine,208 Second Street,Wyoming,19971.0,04/07/2022,Routine,2-102.12,Certified Food Protection Manager,"208 Second Street
Wyoming, DE 19971
(38.715392979, -75.081519967)"
Asbury U M C,300 Basin Rd,New Castle,19720.0,01/17/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","300 Basin Rd
New Castle, DE 19720
(39.682858982, -75.591831019)"
Asbury United Methodist Church,200 Weiner Ave,Harrington,19952.0,02/22/2022,Routine,4-302.12,Food Temperature Measuring Devices,"200 Weiner Ave
Harrington, DE 19952
(38.926489995, -75.578121997)"
Ashbourne Swim Club Inc,900 Darley Rd,Wilmington,19810.0,08/24/2022,Routine,2-102.12,Certified Food Protection Manager,"900 Darley Rd
Wilmington, DE 19810
(39.815014983, -75.470514035)"
